State Name,Univesity Name ,College/Stand Alone Institution
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",K.C Reddy Institute of Pharmaceutical Sciences
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Thotakura RamaKotaiah College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Modern Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","S.V.K.P. Arts, Science and Commerce College"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Geethanjali Degree College, Darsi"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Sri Venkateswara Balakuteer College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",V.S.R. and A.M. Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Sri Sidhartha Degree College, Bestavaripeta"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","KC Reddy PG College, Janamguntapalem"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Chalapathi Degree College, Lam"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",A.C.College of Law
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Chalapathi Institute of Engineering and Technology, Lam"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",K Chandrakala College (P.G.)
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",A.P.Residential Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Aman Showkath B.Ed College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Venigalla Jayasri Ram College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",S.B.M.S. Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Smt. Sanagala Prameela Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",A.B.M. College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","M.V.R Degree College, Karlapalem"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",S.K.S.V. Degree College for Women
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",New Era College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Chaitanya Bharathi Degree College, Chirala"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Anitha Venkateswara College of Eduation
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Sri Sai Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",B.A and K.R College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","S.B.G. Degree College, Sattenapalli"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Government Degree College, Cumbum"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",M.V.G.R. Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Rahul Institute of Pharmaceutical Sciences and Research
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Kamala Institute of Management Studies
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Vyshnavi Degree College, Thripurantakam"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Kalyani MCA College, Eethamukkala"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Viveka College of Education, Vaddesangam"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",S.G.V. Oriental College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Hindu College, Guntur"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Chegireddy Linga Reddy Instt of Management
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Andhra Kesari Vidya Kendram Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",B.S.S.B College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","M.S.R. Degree College, Bapatla"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Sri Majeti Guravaiah Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Chebrolu Hanumaiah College of Pharmaceutical Sciences
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Sri Karthikeya Degree College - Guntur
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","K.V.R., K.VR. and M.K.R College"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",SMS and SMCMR College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Adarsa College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Chalapathi Institute of Pharmaceutical Sciences, Lam"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",S.A.B.R. Govt. Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Sri Venkateswara Degree College, Nakirekallu"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Sri Sai Degree College, Repalle"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Sri Kandula Obula Reddy Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",A.L.College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Malineni Lakshmaiah B.Ed College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",T.J.P.S. College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",G.S.R. Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",D.C.R.M Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",S.V. Arts and Science College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Andhra Muslim College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Vignan Degree College, Guntur"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",TCMT College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",B.B.H Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",B.R College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",National Minority Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Kamala College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","SIMS College of Life Sciences, Guntur"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Sri Gowthami Degree College, Darsi"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Asha College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Sri Kakatiya Degree College, Predakurapadu"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Ideal and S.K.C.M Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Dr.Homi Jahangir Baba Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",N.R.K and K.S.R Gupta College of Pharmacy
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Siddhartha Institute of Pharmaceutical Sciences, Jonnalagadda"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",St. Anns College for Women (U.G)
