Institute Name,Course Name
,- Bachelor of Medicine and Bachelor of Surgery
,- Master of Arts (English)
,- Master of Arts (Sociology)
,- Master Of Science (Biochemistry)
,- Master Of Science (Zoology)
,- Bachelor of Arts (Honours) Geography
,- Bachelor of Arts (Honours) Psychology
,- Bachelor of Arts (Honours) Sanskrit
,- Bachelor of Arts (Tourism)
,- Bachelor of Business Studies
,- Bachelor of Science (Honours) Zoology
,- Master of Arts (Mathematics)
,- Master Of Science (Home Science)
,- Master of Fine Arts
,- Bachelor of Arts (Honours) Applied Psychology
,- Bachelor of Arts (Honours) English
,- Bachelor of Engineering (Civil Engineering)
,- Bachelor of Commerce (Honours)
,- Bachelor of Science (Honours) Nursing
,- Bachelor of Technology (Electronics & Communication Engineering)
,- Master of Arts (Political Science )
,- Master of Education
,- Bachelor of Fine Arts
,- Master Of Science (Botany)
,- Bachelor of Arts (Honours) Business Economics
,- Post Graduate Diploma in Computer Applications
,
Indraprastha College for Women,- B.A. (Hons) Hindi
,- B.A. (Hons) Mathematics
,- B.A. (Hons) Philosophy
,- B.A. (Hons) Sanskrit
,- B.A. (Hons) Political Science
,- B.A. Programme
,- B.Sc. (Hons) Computer Science
,- B.A. (Hons) English
,- B.A. (Hons) Psychology
,- B.A. (Hons) History
,- B.Com. (Hons)
,- Bachelor of Mass Media and Mass Communication
,- B.A. (Hons) Economics
,
NICE Management College,- Bachelor Of Computer Application
,- Post Graduate Diploma in Journalism
,- Bachelor Of Business Administration
,
Maya Academy of Advanced Cinematics (MAAC),- MaxPro
,- VFX.Pro
,- Digital Film Making + MayaPro
,- Certificate in Digital Film Making
,- ADVANCED DIPLOMA IN 3D ANIMATION - PROFESSIONAL
,- MaxPro + MayaPro
,
Indira Gandhi National Open University,- B.Sc.(Mathematics)
,- B.Sc.( Physics)
,- B.Sc.(Zoology)
,- B.Sc.(Botany)
,- B.Tech.(Mechanical Engineering)
,- Bachelor Of Sciences (Nursing)
,- B.A.(Fashion Design)
,- Master Of Art (Hindi)
,- Master of Arts(Economics)
,- Master Of Arts (History)
,- Master of Arts(Education)
,- Master of Arts(Political Science)
,- Master Of Art (Rural Development)
,- Master of Arts (Tourism Management)
,- Master Of Commerce
,- Master Of Computer Application
,- M.Sc (Mathematics with Applications in Computer Science)
,- M.B.A. (Banking & Finance)
,- Post Graduate Diploma in Management
,- Post Graduate Diploma in Journalism and Mass Communication
,- Post Graduate Diploma in International Business Operation
,- Diploma in Civil Engineering
,- Diploma in Nutrition and Health Education
,- Bachelor Of Commerce
,- Post Graduate Certificate in Cyber Law
,- Bachelor of Arts (Tourism Studies)
,- Bachelor Of Commerce
,- Bachelor of Arts(Hindi)
,- Bachelor of Arts (English)
,- Bachelor Of Arts (Political Science)
,- Bachelor of Arts (History)
,- Bachelor of Arts(Economics)
,- Bachelor of Arts(Sociology)
,- B.Sc.(Chemistry)
,- Bachelor Of Social Work
,- B.Tech.(Civil Engineering)
,- Bachelor Of Education
